,z1,z2,z3,z4
Combustion,0.4172685306351125,-0.5827075116526117,-0.5573828338087666,-0.41913618744896175
Nuclear,0.5532784802045908,0.2894636948301779,0.7771655045108701,0.07816240635347114
Hydro,-0.8027680700544783,0.511526784736871,0.2900198650547446,0.09897259695315416
Other,0.31859160760863475,-0.21773164704542164,-0.36608414846266357,0.8467936816110389
