,u1,u2,u3,u4
Industry,0.0025239270104543384,0.8131258641381767,0.5580202363140948,0.16563940908906186
Transport,-0.6648444015208705,-0.39349255468465505,-0.6346143530230006,-0.020204594871462755
Residential,0.9657657586750539,-0.04350679908389366,0.013860956388753249,-0.2553665717951001
Services,0.1538129016320158,-0.7360335472760078,0.6334789206891936,0.18250059657182646
