,r,r2,chi2Tab,chi2Calc,dof
root1,0.127234809899704,0.01618869685021382,0.39173159836337634,16.905590514646793,16
root2,0.26610627511587387,0.07081254965604515,0.05733874315053089,16.489400796670356,9
root3,0.4867604918835924,0.2369357764587568,0.0055662880482679755,14.61655880342457,4
root4,0.5111186882927204,0.2612423135220711,0.005458139022506248,7.721025293006586,1
